FI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
RF_SG_msi;g_Achromobacter;g_Akkermansia;g_Proteus;g_Peptoniphilus;g_Treponema;g_Duodenibacillus;g_Leptotrichia;g_Selenomonas;g_Hydrogenophaga;g_Rhodoluna;g_Salmonella;g_Fluviicola;g_Ideonella;g_Serratia;g_Lactobacillus;g_Butyricimonas;g_Lachnoanaerobaculum;g_Aureimonas;g_Limnohabitans;g_Klebsiella
XGB_SG_msi;g_Ramlibacter;g_Proteus;g_Limnohabitans;g_Peptoniphilus;g_Klebsiella;g_Lachnoanaerobaculum;g_Rhodoluna;g_Achromobacter;g_Hydrogenophaga;g_Parabacteroides;g_Faecalibaculum;g_Leptotrichia;g_Akkermansia;g_Caproicibacterium;g_Parvimonas;g_Selenomonas;g_Vescimonas;g_Romboutsia;g_Aureimonas;g_Treponema
RF_SG_stage;g_Cloacibacillus;g_Odoribacter;g_Anaerotignum;g_Barnesiella;g_Oscillibacter;g_Porphyromonas;g_Chakrabartyella;g_Paraprevotella;g_Pusillibacter;g_Emergencia;g_Vibrio;g_Nocardioides;g_Faecalibaculum;g_Candidatus Epulonipiscium;g_Desulfovibrio;g_Lachnospira;g_Collinsella;g_Agathobacter;g_Rhodoluna;g_Thomasclavelia
XGB_SG_stage;g_Cloacibacillus;g_Simiaoa;g_Oscillibacter;g_Paraprevotella;g_Odoribacter;g_Sphaerotilus;g_Azospirillum;g_Anaerotignum;g_Aquitalea;g_Roseburia;g_Nitratidesulfovibrio;g_Pusillibacter;g_Clostridium;g_Chakrabartyella;g_Collinsella;g_Faecalibaculum;g_Vescimonas;g_Porphyromonas;g_Emergencia;g_Vibrio
RF_SG_TL;g_Turicimonas;g_Sutterella;g_Anaerostipes;g_Selenomonas;g_Peptoniphilus;g_Akkermansia;g_Agathobacter;g_Blautia;g_Vescimonas;g_Anaerocolumna;g_Coprobacter;g_Butyrivibrio;g_Lachnoanaerobaculum;g_Mogibacterium;g_Eubacterium;g_Tyzzerella;g_Pusillibacter;g_Coprococcus;g_Segatella;g_Porphyromonas
XGB_SG_TL;g_Segatella;g_Gemella;g_Enterocloster;g_Flavonifractor;g_Mogibacterium;g_Caproicibacterium;g_Desulfovibrio;g_Akkermansia;g_Mycolicibacterium;g_Ligilactobacillus;g_Vibrio;g_Agathobacter;g_Oscillibacter;g_Paraprevotella;g_Bacteroides;g_Lachnospira;g_Anaerostipes;g_Porphyromonas;g_Fluviicola;g_Proteus
RF_TCGA_ST;g_Faecalibacterium;g_Agrobacterium;g_Parabacteroides;g_Dorea;g_Solobacterium;g_Roseburia;g_Coprococcus;g_Alkalibacterium;g_Prevotella;g_Listeria;g_Bacteroides;g_Alistipes;g_Lachnoclostridium;g_Caldicellulosiruptor;g_Plantibacter;g_Marinitoga;g_Intestinimonas;g_Kangiella;g_Oceanobacillus;g_Gallibacterium
XGB_TCGA_ST;g_Kangiella;g_Marinospirillum;g_Parabacteroides;g_Dorea;g_Alkanindiges;g_Amantichitinum;g_Listeria;g_Agrobacterium;g_Grimontia;g_Paeniclostridium;g_Faecalibacterium;g_Fictibacillus;g_Pseudohaliea;g_Acidihalobacter;g_Chelativorans;g_Paramesorhizobium;g_Candidatus_Paracaedibacter;g_Gallibacterium;g_Tepidiphilus;g_Pseudodonghicola
RF_FMG_HC;g_Peptostreptococcus;g_Lachnospira;g_Lactobacillus;g_Centipeda;g_Solobacterium;g_Zhizhongheella;g_Vitreoscilla;g_Vogesella;g_Romboutsia;g_Atopobium;g_Chelonobacter;g_Mangroviflexus;g_Selenomonas;g_Virgibacillus;g_Macellibacteroides;g_Anaerophaga;g_Mogibacterium;g_Salegentibacter;g_Fusobacterium;g_Sutterella
XGB_FMG_HC;g_Gelria;g_Simplicispira;g_Rufibacter;g_Meniscus;g_Streptosporangium;g_Mariniphaga;g_Tahibacter;g_Sediminitomix;g_Atopobium;g_Leptotrichia;g_Alkaliflexus;g_Zhizhongheella;g_Sporobacter;g_Desulfuribacillus;g_Rugamonas;g_Syntrophaceticus;g_Aeromonas;g_Eremococcus;g_Thalassobaculum;g_Gemmiger
RF_FMG_stage;g_Parvimonas;g_Peptostreptococcus;g_Bifidobacterium;g_Phascolarctobacterium;g_Anaerofustis;g_Lactovum;g_Syntrophococcus;g_Sphingobacterium;g_Bombiscardovia;g_Geofilum;g_Sporomusa;g_Prevotella;g_Porphyromonas;g_Pelotomaculum;g_Planomicrobium;g_Mannheimia;g_Sporobacterium;g_Actinomyces;g_Cloacibacillus;g_Actinobacillus
XGB_FMG_stage;g_Psychroflexus;g_Geofilum;g_Phocoenobacter;g_Owenweeksia;g_Volucribacter;g_Providencia;g_Coenonia;g_Pelistega;g_Thermoanaerobacterium;g_Chitinivibrio;g_Rugamonas;g_Algoriphagus;g_Actinomyces;g_Siccibacter;g_Pararhodospirillum;g_Thioalkalivibrio;g_Entomoplasma;g_Allobaculum;g_Bombiscardovia;g_Paludibacter
RF_FMG_TL;g_Cosenzaea;g_Orbus;g_Malikia;g_Lachnospira;g_Catonella;g_Desulfoconvexum;g_Cricetibacter;g_Dolosicoccus;g_Tamlicoccus;g_Eikenella;g_Vagococcus;g_Kandleria;g_Lautropia;g_Anaerosinus;g_Faecalibacterium;g_Actinobacillus;g_Caloribacterium;g_Eisenbergiella;g_Aeromonas;g_Lactobacillus
XGB_FMG_TL;g_Saccharibacillus;g_Orbus;g_Phaseolibacter;g_Cosenzaea;g_Eikenella;g_Cricetibacter;g_Salinirepens;g_Paucimonas;g_Chthonomonas;g_Yimella;g_Tahibacter;g_Desulfoconvexum;g_Salirhabdus;g_Pararhodospirillum;g_Xanthobacter;g_Actinokineospora;g_Hallella;g_Bisgaardia;g_Megamonas;g_Gordonia
