;P_value
RF_SG_msi_P;4,10E-01
RF_SG_msi_R;
XGB_SG_msi_P;3,42E-02
XGB_SG_msi_R;
RF_SG_stage_P;1,98E-02
RF_SG_stage_R;
XGB_SG_stage_P;5,81E-02
XGB_SG_stage_R;
RF_SG_TL_P;9,25E-01
RF_SG_TL_R;
XGB_SG_TL_P;6,24E-01
XGB_SG_TL_R;
RF_SG_BRAF_P;3,56E-01
RF_SG_BRAF_R;
XGB_SG_BRAF_P;9,10E-03
XGB_SG_BRAF_R;
RF_SG_TP53_P;5,81E-01
RF_SG_TP53_R;
XGB_SG_TP53_P;9,06E-02
XGB_SG_TP53_R;
RF_TCGA_ST_P;9,26E-01
RF_TCGA_ST_R;
XGB_TCGA_ST_P;8,93E-01
XGB_TCGA_ST_R;
RF_FMG_HC_P;1,70E-05
RF_FMG_HC_R;
XGB_FMG_HC_P;1,43E-01
XGB_FMG_HC_R;
RF_FMG_stage_P;9,39E-01
RF_FMG_stage_R;
XGB_FMG_stage_P;7,13E-01
XGB_FMG_stage_R;
RF_FMG_TL_P;5,12E-01
RF_FMG_TL_R;
XGB_FMG_TL_P;6,40E-01
XGB_FMG_TL_R;
